우선순위 기초영단어 1600개 총정리  ,,,,영공카페 http://caf?.naver.com/ilovespeech,,
,,,,,,
,,,,,,
1,the,그 ,,51,think,생각한다 
2,to,"_에 ,_까지 ",,52,know,알고 있다 
3,a ,"한 ,하나의",,53,as,처럼 
4,I,나는,,54,want,원한다 
5,and,그리고 ,,55,day,"날 ,낮"
6,you,"너는, 너를 ,너희들은(를)",,56,him,"그를,그에게"
7,is,이다 ,,57,then,그때 
8,he,"그는,그가",,58,them,그들을
9,in,안에 ,,59,look,본다 
10,it,"그것은,그것을",,60,time,시간 
11,have,"가지고 있다 ,먹다",,61,take,"데리고가다,걸리다."
12,do,한다 ,,62,your,당신의 
13,was,"있었다 ,이었다 ",,63,good,좋은 
14,can,할 수 있다 ,,64,school,학교 
15,not," _않다 , _이 아니다",,65,yes,예 
16,of,"의, _중에 ",,66,ask,질문한다 
17,say,말하다 ,,67,many,많은 
18,for,"_위해서, _동안 ",,68,some,약간의 
19,that,저것 ,,69,man,"사람,남자 "
20,go,간다 ,,70,now,지금 
21,we,우리들은 ,,71,well,잘 
22,they,그들은,,72,their,그들의 
23,she,그녀는,,73,find,발견한다 
24,are,이다 ,,74,other,다른 
25,but,그러나 ,,75,make,만든다 
26,am,이다 ,,76,tell,말한다 
27,will,할 것이다 ,,77,up,위에 
28,my,나의 ,,78,how,어떻게 
29,very,매우 ,,79,out,밖에 
30,at,에서 ,,80,us,"우리들을,(에게)"
31,with,함께 ,,81,an,한 
32,his,그의 ,,82,Mr.,_씨.
33,on,(요일)에,,83,thing,것 
34,when,"언제,_할때",,84,much,많이 
35,there,"거기에,거기서",,85,if,만약 
36,this,이것 ,,86,English,영어 
37,about,"관하여 ,약,대략",,87,no,"아니요,조금도 _않는"
38,me,"나를,나에게",,88,mother,어머니 
39,her,"그녀의,그녀를",,89,by,"의해서 ,_곁에"
40,come,오다 ,,90,could,할 수 있었다 (can의과거)
41,see,보다 ,,91,two,"2,둘"
42,one,"하나,1",,92,father,아버지 
43,be,이다 ,,93,house,집 
44,all,"모두 ,모든",,94,or,또는 
45,so,그래서 ,,95,friend,친구 
46,like,좋아한다 ,,96,year,년 
47,were,있었다 ,,97,work,일한다 
48,from,부터 ,,98,too,역시 
49,get,얻는다 ,,99,people,사람 
50,what,무엇 ,,100,after,후에 
,,,,,,
101,here,여기에 ,,151,happy,행복한 
102,our,우리들의 ,,152,name,이름 
103,talk,말한다 ,,153,new,새로운 
104,more,더 많은,,154,put,놓다 
105,old,오래된 ,,155,enjoy,즐긴다 
106,live,살고있다 ,,156,next,다음의 
107,little,작은 ,,157,why,왜 
108,home,집 ,,158,kind,친절한 
109,way,"길 ,방법",,159,also,또한 
110,thank,감사한다 ,,160,may,"_일지도 모른다,_해도좋다"
111,because,왜냐하면 ,,161,than,_보다도 
112,has,가지고 있다 ,,162,book,책 
113,right,"바른,오른쪽의 ",,163,before,의 전에 
114,use,사용한다 ,,164,apple,사과 
115,who,누가 ,,165,run,달린다 
116,into,의 안으로 ,,166,money,돈 
117,give,주다,,167,study,공부한다 
118,back,"뒤 ,등",,168,hard,열심히 
119,long,긴 ,,169,child,아이 
